car_brand,car_model,car_variant,car_price,car_transmission,car_mileage,car_year,car_location,car_link
Toyota,AVANZA,G (AVANZA),135000000,Automatic,122917,2015,Kota Jakarta Utara,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-g-2015/p/SN202305-000000343
Toyota,INNOVA,G LUX (INNOVA),298000000,Manual,158699,2018,Kota Depok,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-lux-2018/p/SN202307-000000413
Toyota,INNOVA,G (INNOVA),275000000,Manual,140699,2017,Kota Jakarta Timur,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2017/p/SN202305-000000058
Toyota,INNOVA,V (INNOVA),262000000,Automatic,110127,2016,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-innova-v-2016/p/SN202306-000000042
Toyota,YARIS,S TRD 7AB (YARIS),210000000,Automatic,84476,2018,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-7ab-2018/p/SN202306-000000350
Toyota,INNOVA,V (INNOVA),237000000,Manual,90894,2014,Kota Jakarta Pusat,https://www.mobbi.id/in/mobil-bekas/toyota-innova-v-2014/p/SN202306-000000355
Toyota,AVANZA,G (AVANZA),158000000,Automatic,90836,2017,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-g-2017/p/SN202306-000000209
Toyota,YARIS,S TRD 7AB (YARIS),213000000,Automatic,72529,2018,Kota Jakarta Pusat,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-7ab-2018/p/SN202307-000000031
Toyota,FORTUNER,G (FORTUNER),159000000,Automatic,263579,2008,Kota Palembang,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-g-2008/p/SN202306-000000467
Toyota,YARIS,S TRD (YARIS),176000000,Automatic,78241,2015,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-2015/p/SN202304-000000135
Toyota,YARIS,S TRD NEW (YARIS),230000000,Automatic,54120,2018,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-new-2018/p/SN202305-000000421
Toyota,CALYA,G (CALYA),129000000,Automatic,36759,2018,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-g-2018/p/SN202305-000000778
Toyota,FORTUNER,VRZ TRD (FORTUNER),409000000,Automatic,140214,2019,Kota Jakarta Pusat,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-trd-2019/p/SN202306-000000273
Toyota,YARIS,S TRD (YARIS),170500000,Automatic,57599,2014,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-2014/p/SN202307-000000627
Toyota,YARIS,S TRD 7AB (YARIS),212000000,Automatic,85899,2019,Kota Jakarta Pusat,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-7ab-2019/p/SN202306-000000530
Toyota,FORTUNER,VRZ TRD (FORTUNER),389000000,Automatic,73721,2017,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-trd-2017/p/SN202306-000000534
Toyota,CAMRY,HYBRID (CAMRY),240000000,Automatic,82000,2014,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-camry-hybrid-2014/p/SN202305-000000206
Toyota,FORTUNER,FORTUNER 2.4 VRZ TRD AT DIESEL (NEW),494700000,Automatic,45169,2020,Kota Bogor,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-fortuner-2-4-vrz-trd-at-diesel-2020/p/SN202207-0000001148
Toyota,RUSH,RUSH 1.5 S AT TRD BENSIN (ALL NEW),241568400,Automatic,51760,2019,Kota Surabaya,https://www.mobbi.id/in/mobil-bekas/toyota-rush-rush-1-5-s-at-trd-bensin-2019/p/SN202208-0000004024
Toyota,CALYA,1.2 G M/T,130075000,Automatic,32079,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2021/p/SN202305-0000000346
Toyota,AGYA,1.2 G TRD M/T NEW,111262500,Automatic,59013,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-agya-1-2-g-trd-m-t-new-2019/p/SN202305-0000000340
Toyota,CALYA,1.2 G M/T,113950000,Manual,1111,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2019/p/SN202305-0000000320
Toyota,ALL NEW RUSH,1.5 S A/T LUX GR,243487500,Automatic,36908,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-all-new-rush-1-5-s-a-t-lux-gr-2021/p/SN202306-0000003014
Toyota,AVANZA,1.3 G A/T GRANDe,161787500,Automatic,11405,2018,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-1-3-g-a-t-grande-2018/p/SN202306-0000003018
Toyota,CALYA,1.2 G A/T,143512500,Automatic,19537,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-a-t-2022/p/SN202306-0000003021
Toyota,RUSH,1.5 S A/T TRD,221987500,Automatic,35340,2020,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-rush-1-5-s-a-t-trd-2020/p/SN202306-0000003022
Toyota,CALYA,1.2 G A/T,141900000,Automatic,14715,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-a-t-2022/p/SN202306-0000003023
Toyota,VELOZ,1.5 Q CVT,246175000,Automatic,11876,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-veloz-1-5-q-cvt-2022/p/SN202306-0000003035
Toyota,FORTUNER,VRZ TRD (FORTUNER),500000000,Automatic,76739,2020,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-trd-2020/p/SN202306-000000127
Toyota,CALYA,1.2 G M/T,140287500,Manual,35672,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202306-0000003067
Toyota,CALYA,1.2 G M/T,133300000,Manual,36467,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2021/p/SN202306-0000003074
Toyota,INNOVA,G (INNOVA),330000000,Manual,129321,2018,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2018/p/SN202307-000000364
Toyota,RUSH,G (RUSH),216000000,Automatic,39685,2019,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-rush-g-2019/p/SN202307-000000370
Toyota,INNOVA,INNOVA 2.4 VENTURER AT DIESEL (REBORN),418000000,Automatic,74544,2019,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-innova-innova-2-4-venturer-at-diesel-2019/p/SN202208-0000000029
Toyota,RAIZE,RAIZE 1.0T GR SPORT CVT,226440000,Automatic,17020,2021,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-raize-raize-1-0t-gr-sport-cvt-2021/p/SN202303-0000003006
Toyota,YARIS,YARIS 1.5 S AT TRD (ALL NEW),226440000,Automatic,28874,2019,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-yaris-1-5-s-at-trd-2019/p/SN202303-0000003008
Toyota,AVANZA,VELOZ 1.5 AT (NEW),140000000,Automatic,174624,2015,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-veloz-1-5-at-2015/p/SN202304-0000002003
Toyota,FORTUNER,4X4 2.4 VRZ A/T DIESEL,453650000,Automatic,90733,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-4x4-2-4-vrz-a-t-diesel-2019/p/SN202306-0000004006
Toyota,AVANZA,G (AVANZA),180400000,Automatic,31393,2019,Kota Semarang,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-g-2019/p/SN202306-000000175
Toyota,CALYA,1.2 G M/T,134912500,Automatic,36129,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202306-0000004026
Toyota,CALYA,1.2 G M/T,126312500,Manual,86840,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202306-0000004031
Toyota,FORTUNER,VRZ TRD (FORTUNER),465000000,Automatic,51244,2019,Kota Jakarta Timur,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-trd-2019/p/SN202306-000000559
Toyota,CALYA,1.2 G M/T,163400000,Automatic,11663,2023,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2023/p/SN202306-0000010076
Toyota,INNOVA,Q (INNOVA),284000000,Automatic,112704,2017,Kota Depok,https://www.mobbi.id/in/mobil-bekas/toyota-innova-q-2017/p/SN202307-000000388
Toyota,AGYA,E (AGYA),83000000,Manual,36612,2016,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-agya-e-2016/p/SN202307-000000399
Toyota,INNOVA,G (INNOVA),382000000,Automatic,36190,2021,Kota Palembang,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2021/p/SN202307-000000402
Toyota,AVANZA,VELOZ (AVANZA),164000000,Automatic,88453,2017,Kab. Tangerang,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-veloz-2017/p/SN202307-000000422
Toyota,INNOVA,V (INNOVA),350000000,Automatic,142056,2018,Kota Surabaya,https://www.mobbi.id/in/mobil-bekas/toyota-innova-v-2018/p/SN202307-000000455
Toyota,AGYA,1.2 G TRD M/T NEW,115025000,Manual,38997,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-agya-1-2-g-trd-m-t-new-2019/p/SN202307-0000001003
Toyota,CALYA,1.2 G M/T,140287500,Manual,16621,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202307-0000001005
Toyota,ALL NEW RUSH,1.5 S M/T GR SPORT,256925000,Manual,14191,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-all-new-rush-1-5-s-m-t-gr-sport-2022/p/SN202307-0000001007
Toyota,CALYA,1.2 G M/T,137600000,Manual,91945,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202307-0000001010
Toyota,AGYA,1.2 G TRD A/T NEW,122550000,Automatic,148723,2020,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-agya-1-2-g-trd-a-t-new-2020/p/SN202307-0000001018
Toyota,RUSH,1.5 G A/T,225642500,Automatic,14545,2020,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-rush-1-5-g-a-t-2020/p/SN202307-0000001023
Toyota,ALL NEW YARIS,1.5 S CVT TRD,227900000,Automatic,6930,2020,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-all-new-yaris-1-5-s-cvt-trd-2020/p/SN202307-0000001028
Toyota,FORTUNER,4X2 2.8 VRZ A/T GR SPORT,556312500,Automatic,3343,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-4x2-2-8-vrz-a-t-gr-sport-2022/p/SN202307-0000002013
Toyota,ALPHARD,G NEW (ALPHARD),1013000000,Automatic,34851,2019,Kota Surabaya,https://www.mobbi.id/in/mobil-bekas/toyota-alphard-g-new-2019/p/SN202301-000000260
Toyota,AVANZA,GRAND AVANZA 1.3 G AT BENSIN,163200000,Automatic,95840,2018,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-grand-avanza-1-3-g-at-bensin-2018/p/SN202302-0000001024
Toyota,AVANZA,GRAND AVANZA 1.3 G AT BENSIN,163200000,Automatic,56000,2017,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-grand-avanza-1-3-g-at-bensin-2017/p/SN202302-0000001023
Toyota,RAIZE,1.2 G ONE TONE CVT,204787500,Automatic,7177,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-raize-1-2-g-one-tone-cvt-2022/p/SN202305-0000000707
Toyota,VELOZ,1.5 Q CVT TSS,270900000,Automatic,30077,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-veloz-1-5-q-cvt-tss-2022/p/SN202306-0000001009
Toyota,ALL NEW AVANZA,1.3 E CVT,199950000,Automatic,22371,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-all-new-avanza-1-3-e-cvt-2022/p/SN202306-0000008028
Toyota,YARIS,S TRD 7AB (YARIS),228000000,Automatic,25871,2018,Kota Jakarta Timur,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-7ab-2018/p/SN202306-000000370
Toyota,RUSH,S TRD NEW (RUSH),169400000,Manual,134022,2015,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-rush-s-trd-new-2015/p/SN202306-000000401
Toyota,AGYA,G TRD (AGYA),132000000,Automatic,45144,2017,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-agya-g-trd-2017/p/SN202306-000000402
Toyota,INNOVA,G (INNOVA),232000000,Automatic,155512,2016,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/-innova-g-2016/p/SN202307-000000246
Toyota,CALYA,1.2 E M/T,111800000,Manual,34732,2020,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-e-m-t-2020/p/SN202307-0000000167
Toyota,CALYA,1.2 G M/T,123625000,Automatic,143270,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2021/p/SN202307-0000000171
Toyota,CALYA,1.2 G M/T,105887500,Manual,153430,2018,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2018/p/SN202307-0000000177
Toyota,AVANZA,G (AVANZA),195800000,Automatic,82219,2019,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-g-2019/p/SN202307-000000261
Toyota,INNOVA,Q VENTURER (INNOVA),434000000,Automatic,68437,2019,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-innova-q-venturer-2019/p/SN202307-000000264
Toyota,AGYA,1.2 G GR SPORT M/T,123087500,Manual,102243,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-agya-1-2-g-gr-sport-m-t-2021/p/SN202307-0000000192
Toyota,AGYA,1.2 G TRD M/T NEW,137600000,Automatic,29407,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-agya-1-2-g-trd-m-t-new-2021/p/SN202307-0000000204
Toyota,CALYA,1.2 G M/T,130612500,Automatic,30000,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2021/p/SN202307-0000000212
Toyota,ALL NEW AVANZA,1.5 G CVT,226287500,Automatic,77152,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-all-new-avanza-1-5-g-cvt-2022/p/SN202307-0000000219
Toyota,CALYA,1.2 G M/T,103737500,Automatic,136403,2018,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2018/p/SN202307-0000000222
Toyota,CALYA,1.2 G M/T,100512500,Automatic,60000,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2019/p/SN202307-0000000225
Toyota,CALYA,1.2 E M/T,113412500,Manual,85083,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-e-m-t-2019/p/SN202307-0000000226
Toyota,INNOVA,G (INNOVA),243000000,Automatic,126371,2015,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2015/p/SN202307-000000272
Toyota,CALYA,1.2 G M/T,140287500,Automatic,25034,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202307-0000000227
Toyota,CALYA,1.2 G M/T,129000000,Automatic,75706,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2021/p/SN202307-0000000232
Toyota,CALYA,1.2 G M/T,149425000,Automatic,15000,2022,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2022/p/SN202307-0000000237
Toyota,CALYA,1.2 G M/T,148350000,Automatic,45000,2020,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-calya-1-2-g-m-t-2020/p/SN202307-0000000238
Toyota,AVANZA,G (AVANZA),190740000,Automatic,112000,2019,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-g-2019/p/SN202307-0000000240
Toyota,AGYA,G (AGYA),137000000,Manual,30743,2021,Kota Jakarta Pusat,https://www.mobbi.id/in/mobil-bekas/toyota-agya-g-2021/p/SN202203-000000540
